customer_id,business_size,industry,cardholder_role,business_age_years,tenure_months,credit_limit,avg_monthly_spend,spend_trend_3mo,transaction_count_monthly,utilization_ratio,merchant_category_diversity,credit_score_band,late_payments_last_12mo,payment_ratio,support_calls_last_90d,login_frequency_monthly,churn_flag,received_offer,offer_type,retained_post_offer
SME190560,micro,retail,business_owner,10.4,1.0,11600.0,11414.68,0.161,66.0,0.277,14,near_prime,2,0.65,3.0,18.0,1,1,travel_credit,1
SME115407,micro,healthcare,business_owner,2.4,38.0,14500.0,11838.42,0.225,120.0,0.261,5,super_prime,0,0.83,0.0,,0,0,none,1
SME193934,micro,healthcare,business_owner,4.5,7.0,1300.0,2815.0,-0.137,31.0,0.544,14,prime,2,0.79,1.0,6.0,0,0,none,1
SME114580,small,retail,employee,5.0,12.0,12800.0,2983.12,0.001,16.0,0.318,13,super_prime,0,0.94,1.0,10.0,0,0,none,1
SME105803,small,food_service,business_owner,0.5,25.0,10800.0,3545.18,0.044,34.0,0.4,13,near_prime,1,0.83,2.0,7.0,0,1,travel_credit,1
SME134705,micro,healthcare,employee,7.5,2.0,8400.0,1183.15,0.167,8.0,0.883,14,super_prime,0,0.61,0.0,7.0,0,1,travel_credit,1
SME105737,small,construction,business_owner,6.8,24.0,10600.0,1622.95,0.043,14.0,0.221,13,subprime,1,0.55,5.0,1.0,0,0,none,1
SME100002,small,professional_services,employee,21.8,15.0,2800.0,5143.65,0.246,27.0,0.53,11,near_prime,3,0.6,1.0,10.0,0,0,none,1
SME126415,medium,retail,employee,19.2,12.0,11900.0,109.33,0.093,1.0,0.31,9,near_prime,2,0.65,2.0,1.0,0,0,none,1
SME106039,micro,tech,business_owner,10.0,15.0,24200.0,9610.38,-0.043,54.0,0.26,13,near_prime,2,0.69,0.0,8.0,0,1,waived_fee,1
SME159382,small,construction,employee,2.5,7.0,31000.0,84.21,-0.158,1.0,0.144,5,near_prime,0,0.74,4.0,12.0,0,1,waived_fee,1
SME116317,small,professional_services,business_owner,2.8,15.0,8000.0,4890.54,0.215,25.0,0.379,12,prime,1,0.82,3.0,2.0,0,0,none,1
SME107297,micro,healthcare,business_owner,0.8,75.0,23200.0,3918.22,-0.25,29.0,0.052,3,near_prime,3,0.73,3.0,7.0,0,1,credit_increase,0
SME118518,small,construction,employee,2.4,2.0,14000.0,4715.91,-0.199,50.0,0.209,5,near_prime,2,0.66,3.0,4.0,0,0,none,1
SME173484,small,construction,business_owner,6.5,136.0,11900.0,4421.63,-0.094,26.0,0.318,11,prime,2,0.88,3.0,7.0,1,0,none,1
SME143247,micro,healthcare,employee,20.8,13.0,14900.0,2943.66,-0.195,18.0,0.491,10,super_prime,0,1.04,0.0,9.0,0,0,none,1
SME140678,micro,food_service,business_owner,5.9,23.0,9300.0,5248.75,0.225,29.0,0.302,3,super_prime,0,0.92,1.0,2.0,0,0,none,1
SME107953,micro,professional_services,business_owner,8.3,24.0,13200.0,103.6,0.036,1.0,0.145,3,near_prime,0,1.07,1.0,0.0,0,0,none,1
SME146355,micro,retail,business_owner,0.6,4.0,11800.0,1554.3,-0.081,19.0,0.27,4,near_prime,1,0.8,3.0,5.0,0,1,travel_credit,1
SME105267,small,professional_services,business_owner,4.4,31.0,39500.0,7200.99,0.036,53.0,0.538,2,prime,0,0.75,2.0,8.0,0,0,none,1
SME192886,small,professional_services,employee,0.5,26.0,20100.0,3676.98,-0.025,22.0,0.493,8,prime,2,0.74,1.0,5.0,0,0,none,1
SME166964,micro,construction,employee,3.9,34.0,25900.0,2525.68,-0.105,16.0,0.148,7,super_prime,1,1.02,1.0,16.0,0,0,none,1
SME136758,micro,retail,business_owner,0.5,67.0,7300.0,1713.0,-0.177,9.0,0.683,10,prime,0,0.62,1.0,3.0,0,1,waived_fee,1
SME184195,small,professional_services,business_owner,4.2,5.0,16600.0,7610.44,0.137,86.0,0.186,7,subprime,2,0.59,2.0,2.0,0,0,none,1
SME177715,micro,food_service,employee,0.6,1.0,18800.0,72213.51,-0.037,450.0,0.534,4,prime,0,0.89,1.0,5.0,0,1,waived_fee,1
SME179888,medium,food_service,employee,10.9,12.0,10000.0,6189.42,0.009,75.0,0.286,11,prime,2,0.82,0.0,17.0,0,0,none,1
SME143349,micro,construction,employee,1.8,13.0,15500.0,2766.36,0.06,21.0,0.235,3,prime,1,0.85,1.0,11.0,0,1,travel_credit,1
SME171045,small,tech,employee,3.7,24.0,10400.0,5717.8,-0.146,46.0,0.228,9,super_prime,3,0.73,1.0,12.0,0,1,credit_increase,1
SME116730,micro,healthcare,business_owner,8.4,1.0,22700.0,2570.11,-0.222,15.0,0.055,13,prime,2,0.85,4.0,6.0,0,1,credit_increase,0
SME180642,micro,professional_services,employee,6.9,1.0,10700.0,1649.39,0.215,20.0,0.129,11,super_prime,0,0.54,1.0,12.0,0,0,none,1
SME118146,small,food_service,business_owner,17.6,25.0,10900.0,5117.68,-0.075,49.0,0.313,4,prime,0,0.83,,1.0,0,1,credit_increase,1
SME113617,medium,healthcare,employee,2.3,21.0,20400.0,4630.97,0.215,47.0,0.608,2,prime,3,0.8,0.0,12.0,0,1,credit_increase,1
SME142754,micro,professional_services,business_owner,1.3,11.0,20900.0,6529.44,-0.058,50.0,0.179,9,super_prime,0,0.85,0.0,17.0,1,0,none,0
SME121744,micro,healthcare,employee,6.2,4.0,11800.0,5399.59,0.074,41.0,0.786,3,prime,0,0.72,2.0,8.0,0,1,travel_credit,1
SME154139,micro,construction,employee,1.9,2.0,5000.0,5926.97,-0.027,53.0,0.853,5,near_prime,0,0.55,1.0,6.0,0,1,waived_fee,1
SME140197,micro,retail,employee,5.6,6.0,19800.0,5056.37,-0.108,48.0,0.149,4,prime,1,0.9,0.0,9.0,0,1,credit_increase,1
SME118474,small,construction,business_owner,4.5,1.0,19200.0,3736.87,-0.201,23.0,0.314,4,prime,0,0.64,2.0,8.0,0,0,none,0
SME122156,micro,tech,business_owner,10.4,12.0,22800.0,6629.28,0.227,40.0,0.197,8,near_prime,0,0.95,1.0,17.0,0,1,waived_fee,1
SME147872,small,professional_services,business_owner,1.1,6.0,20500.0,10635.14,0.036,105.0,0.522,14,super_prime,0,0.88,1.0,5.0,0,0,none,0
SME192286,micro,retail,business_owner,0.5,34.0,15200.0,7509.83,0.004,75.0,0.181,11,prime,1,0.68,3.0,10.0,0,0,none,1
SME119915,small,retail,business_owner,3.6,12.0,27900.0,4676.56,-0.174,29.0,0.301,1,near_prime,1,0.79,0.0,4.0,0,0,none,1
SME167773,small,retail,employee,4.9,1.0,12300.0,5015.11,-0.086,28.0,0.497,10,super_prime,0,0.76,1.0,10.0,0,0,none,1
SME114560,micro,tech,business_owner,11.4,4.0,16900.0,5326.11,0.039,48.0,0.525,4,near_prime,1,0.79,4.0,7.0,0,0,none,0
SME193218,micro,healthcare,employee,1.1,6.0,17100.0,9370.4,0.147,69.0,0.073,6,super_prime,0,0.97,1.0,13.0,0,1,waived_fee,1
SME116438,micro,retail,business_owner,4.7,4.0,6400.0,1292.63,-0.252,14.0,0.145,13,near_prime,0,0.59,1.0,8.0,0,1,travel_credit,0
SME122941,micro,healthcare,business_owner,2.2,6.0,10600.0,6354.76,0.079,36.0,0.267,10,subprime,4,0.63,1.0,8.0,1,0,none,0
SME196692,micro,food_service,business_owner,1.9,7.0,22800.0,1667.23,0.02,11.0,0.634,7,super_prime,0,1.08,0.0,0.0,1,1,credit_increase,1
SME119115,micro,healthcare,business_owner,9.4,26.0,32500.0,7981.88,0.095,79.0,0.185,13,super_prime,0,0.86,2.0,6.0,0,0,none,1
SME114143,small,construction,business_owner,0.5,11.0,12400.0,3887.25,-0.002,20.0,0.282,2,prime,1,0.68,2.0,9.0,1,0,none,1
SME111796,micro,food_service,business_owner,4.2,33.0,9500.0,2783.9,-0.25,26.0,0.229,12,near_prime,2,0.55,2.0,8.0,1,0,none,1
SME174184,small,retail,business_owner,0.6,15.0,11300.0,1281.26,-0.01,9.0,0.28,6,prime,1,0.56,1.0,8.0,0,0,none,1
SME119076,micro,tech,business_owner,1.5,8.0,1000.0,10263.66,-0.02,65.0,0.057,9,near_prime,1,0.73,3.0,,0,1,credit_increase,1
SME193628,medium,professional_services,employee,7.1,34.0,11700.0,5404.98,0.027,30.0,0.429,12,near_prime,2,0.76,4.0,10.0,0,0,none,1
SME133987,micro,food_service,business_owner,14.4,1.0,6400.0,3680.78,-0.153,21.0,0.165,1,near_prime,2,0.58,2.0,3.0,1,0,none,0
SME146755,small,construction,business_owner,16.6,3.0,11400.0,1563.4,0.055,18.0,0.121,9,prime,2,0.76,0.0,4.0,0,1,credit_increase,1
SME108573,micro,food_service,employee,8.7,26.0,16300.0,3949.45,-0.129,31.0,0.657,11,prime,1,0.93,1.0,6.0,0,0,none,1
SME120637,micro,retail,employee,4.4,34.0,13500.0,3483.19,0.117,40.0,0.272,13,super_prime,1,0.9,0.0,7.0,0,0,none,1
SME107104,micro,healthcare,business_owner,8.0,1.0,19900.0,2255.41,0.056,21.0,0.814,1,super_prime,0,0.78,2.0,3.0,1,0,none,1
SME162994,small,professional_services,employee,0.8,79.0,1600.0,5635.21,0.001,29.0,0.141,11,super_prime,0,0.79,3.0,6.0,0,0,none,1
SME138169,micro,retail,business_owner,1.0,10.0,10500.0,7415.16,0.05,43.0,0.441,5,super_prime,0,0.68,1.0,9.0,1,0,none,1
SME161346,medium,retail,business_owner,3.6,11.0,8600.0,3587.2,0.014,21.0,0.317,13,prime,1,0.42,1.0,14.0,0,0,none,0
SME112616,small,retail,business_owner,1.8,22.0,8100.0,4430.76,-0.112,40.0,0.739,3,super_prime,0,0.84,0.0,11.0,0,0,none,0
SME113888,small,retail,business_owner,8.8,19.0,13700.0,8723.69,-0.067,74.0,0.235,6,subprime,3,0.71,,10.0,0,0,none,1
SME142931,micro,food_service,business_owner,2.0,7.0,22900.0,6052.99,-0.158,43.0,0.118,5,prime,0,0.71,4.0,9.0,1,0,none,0
SME184272,small,professional_services,business_owner,22.2,4.0,12100.0,2957.9,0.07,19.0,0.24,14,prime,0,0.94,3.0,6.0,1,0,none,0
SME162909,micro,food_service,business_owner,0.5,7.0,19600.0,8157.29,0.061,53.0,0.123,5,prime,0,0.97,2.0,13.0,1,1,travel_credit,1
SME102098,micro,food_service,business_owner,10.5,9.0,17000.0,2439.34,-0.034,15.0,0.392,5,super_prime,0,0.82,0.0,5.0,0,0,none,0
SME108867,micro,food_service,business_owner,1.4,3.0,10700.0,7554.6,0.047,69.0,0.276,12,prime,1,0.71,2.0,7.0,0,0,none,1
SME188421,small,food_service,business_owner,15.3,24.0,30800.0,2741.77,-0.206,30.0,0.11,6,near_prime,1,0.53,0.0,10.0,0,1,waived_fee,1
SME197384,micro,professional_services,business_owner,3.8,30.0,25500.0,3662.22,0.056,42.0,0.145,10,near_prime,1,0.52,1.0,4.0,1,1,waived_fee,1
SME141535,micro,retail,business_owner,9.5,4.0,13500.0,10942.95,-0.051,129.0,0.114,8,prime,1,0.85,2.0,8.0,0,0,none,1
SME180431,medium,healthcare,business_owner,24.9,18.0,22100.0,7592.7,-0.091,41.0,0.265,12,prime,1,0.86,1.0,3.0,0,1,waived_fee,1
SME115268,micro,retail,business_owner,0.7,5.0,29600.0,7453.59,0.063,59.0,0.09,14,super_prime,1,0.66,1.0,15.0,0,0,none,1
SME126923,small,food_service,employee,2.7,1.0,24600.0,1549.31,-0.028,18.0,0.219,12,prime,0,0.78,0.0,11.0,0,0,none,1
SME181240,medium,healthcare,business_owner,7.7,29.0,8300.0,1855.47,-0.133,10.0,0.211,12,near_prime,2,0.4,0.0,12.0,0,1,credit_increase,1
SME128290,micro,retail,employee,4.4,48.0,18300.0,5092.55,0.008,33.0,0.272,9,near_prime,1,0.83,,15.0,0,0,none,1
SME103757,micro,tech,employee,3.4,12.0,9700.0,5760.03,-0.025,56.0,0.137,3,prime,1,0.85,3.0,0.0,0,1,travel_credit,1
SME131083,micro,professional_services,employee,8.5,8.0,20100.0,8584.75,0.081,78.0,0.505,8,super_prime,1,0.96,0.0,11.0,0,0,none,1
SME167061,micro,construction,business_owner,8.5,1.0,5800.0,5422.55,-0.013,54.0,0.472,8,near_prime,3,0.77,1.0,10.0,0,1,travel_credit,1
SME180272,small,professional_services,business_owner,0.8,16.0,21200.0,270.64,0.117,2.0,0.675,8,near_prime,1,0.57,4.0,,0,0,none,1
SME136947,micro,food_service,employee,3.6,1.0,16500.0,2699.08,-0.05,16.0,0.674,2,near_prime,0,0.81,2.0,10.0,1,1,credit_increase,1
SME114228,small,professional_services,business_owner,1.7,9.0,14500.0,3880.1,-0.034,34.0,0.547,7,subprime,4,0.43,3.0,0.0,1,0,none,0
SME128519,micro,retail,employee,8.2,29.0,15500.0,7064.81,0.071,59.0,0.306,5,prime,1,0.57,0.0,0.0,1,0,none,1
SME165706,small,tech,employee,2.4,25.0,20500.0,7081.75,-0.199,40.0,0.248,3,prime,3,0.82,0.0,15.0,0,1,travel_credit,1
SME109150,micro,professional_services,business_owner,1.5,8.0,8500.0,3671.27,0.236,20.0,0.551,10,subprime,1,0.71,4.0,7.0,0,0,none,0
SME189998,medium,healthcare,business_owner,6.1,3.0,19900.0,7601.12,0.139,42.0,0.425,6,prime,2,0.79,0.0,12.0,0,0,none,0
SME118452,small,healthcare,business_owner,0.7,106.0,27800.0,85.74,-0.143,1.0,0.084,1,super_prime,1,0.87,0.0,11.0,0,0,none,0
SME129656,small,food_service,employee,3.7,27.0,12400.0,7588.51,-0.07,48.0,0.603,2,prime,1,0.56,1.0,7.0,0,1,travel_credit,1
SME127664,micro,retail,business_owner,4.7,20.0,5700.0,5613.02,0.112,36.0,0.128,6,near_prime,2,0.64,2.0,8.0,0,0,none,0
SME193884,small,food_service,business_owner,1.8,1.0,6800.0,7421.32,0.001,48.0,0.171,11,super_prime,0,0.65,1.0,8.0,0,0,none,1
SME113261,micro,construction,business_owner,7.9,20.0,1000.0,6836.47,0.092,59.0,0.075,9,subprime,1,0.54,5.0,8.0,1,1,credit_increase,1
SME123152,micro,food_service,business_owner,2.4,1.0,13000.0,8915.7,0.046,57.0,0.527,11,super_prime,0,0.84,0.0,5.0,1,1,waived_fee,1
SME187435,medium,food_service,business_owner,2.8,51.0,6500.0,2992.15,-0.151,19.0,0.256,7,near_prime,0,0.78,0.0,0.0,0,1,credit_increase,1
SME196481,micro,food_service,employee,10.0,3.0,10200.0,3021.31,0.217,29.0,0.252,10,near_prime,1,0.65,1.0,7.0,0,1,waived_fee,1
SME118739,micro,healthcare,business_owner,1.3,8.0,7200.0,85.18,-0.148,1.0,0.461,4,subprime,1,0.62,7.0,2.0,1,0,none,0
SME168144,micro,construction,employee,8.7,21.0,13300.0,6838.64,0.126,62.0,0.394,8,prime,2,0.72,0.0,3.0,0,1,travel_credit,1
SME180766,small,tech,employee,26.4,49.0,7800.0,4418.1,-0.029,49.0,0.76,10,prime,1,0.8,0.0,14.0,0,0,none,1
SME195535,micro,retail,business_owner,2.2,10.0,12000.0,6583.89,0.118,48.0,0.221,2,subprime,1,0.74,3.0,12.0,0,0,none,0
SME182894,small,construction,business_owner,3.2,13.0,13300.0,4234.45,-0.27,25.0,0.221,14,prime,1,0.69,2.0,14.0,0,0,none,0
SME105344,micro,construction,business_owner,4.4,3.0,24400.0,3389.61,0.135,18.0,0.174,5,prime,2,0.62,1.0,13.0,1,0,none,1
SME159631,micro,professional_services,business_owner,3.3,16.0,1000.0,6244.39,0.068,48.0,0.25,2,prime,1,0.6,1.0,9.0,0,1,travel_credit,1
SME179701,micro,construction,business_owner,1.2,114.0,13500.0,9395.88,0.064,51.0,0.513,3,near_prime,3,0.73,6.0,10.0,0,0,none,1
SME116025,medium,retail,business_owner,8.4,14.0,22200.0,8430.99,-0.036,80.0,0.448,1,prime,0,0.6,0.0,13.0,0,0,none,1
SME174764,small,tech,employee,21.5,23.0,21800.0,3552.34,-0.06,20.0,0.113,8,prime,0,0.83,1.0,5.0,0,0,none,0
SME147683,micro,retail,business_owner,4.2,16.0,1200.0,4970.74,-0.039,43.0,0.088,11,prime,0,0.72,1.0,5.0,1,0,none,1
SME131785,micro,healthcare,business_owner,4.8,1.0,21900.0,6557.37,-0.138,40.0,0.054,10,super_prime,1,1.2,1.0,2.0,1,1,travel_credit,0
SME118371,micro,food_service,employee,0.5,8.0,15800.0,6404.45,-0.123,51.0,0.158,7,near_prime,3,0.84,2.0,7.0,1,0,none,0
SME150995,medium,retail,employee,17.6,14.0,23700.0,2705.13,0.112,20.0,0.232,1,subprime,2,0.28,4.0,23.0,0,0,none,1
SME189725,micro,food_service,employee,5.1,12.0,8500.0,373.7,-0.098,3.0,0.358,9,prime,1,0.99,2.0,20.0,0,0,none,1
SME188822,micro,food_service,business_owner,4.0,21.0,9100.0,3295.94,-0.209,22.0,0.04,14,near_prime,1,0.63,2.0,9.0,0,1,waived_fee,1
SME184298,micro,food_service,business_owner,0.5,6.0,1000.0,10293.5,-0.03,115.0,0.363,11,subprime,3,0.59,2.0,4.0,0,1,credit_increase,0
SME106436,micro,construction,business_owner,1.0,2.0,15200.0,5312.48,-0.242,32.0,0.38,11,super_prime,1,0.84,2.0,7.0,0,0,none,1
SME197457,small,food_service,employee,1.4,36.0,10900.0,246.71,-0.292,1.0,0.223,7,super_prime,0,0.64,2.0,13.0,0,0,none,1
SME198331,micro,professional_services,business_owner,6.3,8.0,16100.0,3485.25,-0.165,33.0,0.41,2,subprime,3,0.89,3.0,11.0,0,1,travel_credit,1
SME133066,small,retail,employee,0.5,3.0,17100.0,10235.29,0.193,77.0,0.353,3,prime,1,0.76,2.0,14.0,1,0,none,1
SME100139,micro,food_service,business_owner,2.4,2.0,21700.0,6059.13,0.07,72.0,0.033,11,super_prime,0,0.85,0.0,12.0,0,1,credit_increase,1
SME185673,micro,professional_services,employee,5.2,8.0,4800.0,2413.74,-0.111,23.0,0.234,8,super_prime,0,0.97,3.0,0.0,1,0,none,0
SME161728,micro,construction,employee,1.4,16.0,17800.0,6500.12,-0.014,45.0,0.589,11,super_prime,0,0.95,0.0,3.0,0,1,travel_credit,1
SME132914,small,professional_services,business_owner,2.8,18.0,24600.0,4237.26,0.053,31.0,0.604,14,near_prime,2,0.67,4.0,6.0,0,0,none,0
SME124960,micro,professional_services,business_owner,0.6,1.0,4500.0,3935.71,-0.185,21.0,0.384,14,prime,2,0.74,1.0,,0,0,none,0
SME192388,small,construction,business_owner,10.8,40.0,28100.0,3949.28,-0.077,28.0,0.025,2,subprime,2,0.75,4.0,11.0,0,1,travel_credit,0
SME190202,micro,construction,employee,2.7,21.0,14800.0,9148.66,-0.077,111.0,0.29,12,subprime,4,0.59,1.0,16.0,0,0,none,1
SME159117,micro,healthcare,business_owner,0.5,5.0,18800.0,2109.83,-0.181,14.0,0.24,2,prime,1,0.8,3.0,9.0,0,1,credit_increase,1
SME185725,small,food_service,employee,1.9,11.0,13200.0,7808.29,0.169,87.0,0.614,8,super_prime,0,0.82,0.0,0.0,0,1,waived_fee,1
SME188868,small,construction,employee,1.5,9.0,4900.0,6300.21,-0.05,47.0,0.39,10,prime,1,0.71,2.0,9.0,0,0,none,1
SME189895,small,food_service,business_owner,4.8,1.0,17500.0,5839.87,0.072,38.0,0.249,6,super_prime,2,0.72,1.0,6.0,1,1,travel_credit,1
SME166883,small,retail,business_owner,2.6,49.0,17300.0,8764.72,0.127,60.0,0.285,10,near_prime,3,0.66,4.0,16.0,0,0,none,1
SME136349,small,construction,employee,0.5,17.0,16900.0,3530.88,0.179,19.0,0.073,11,prime,0,0.94,3.0,10.0,1,0,none,0
SME109050,micro,healthcare,business_owner,4.7,7.0,5400.0,5325.3,-0.129,35.0,0.327,14,prime,2,0.65,1.0,8.0,0,1,waived_fee,1
SME193715,medium,professional_services,business_owner,3.4,37.0,3100.0,6035.29,-0.067,50.0,0.526,11,prime,1,0.73,0.0,,0,1,credit_increase,1
SME126441,small,construction,business_owner,7.4,5.0,14600.0,5825.15,-0.103,30.0,0.31,6,prime,1,0.67,0.0,15.0,1,0,none,1
SME186213,micro,retail,employee,7.2,2.0,16200.0,5740.47,-0.013,46.0,0.36,12,super_prime,1,1.14,3.0,7.0,1,1,travel_credit,1
SME117894,micro,food_service,business_owner,1.0,4.0,19700.0,6604.86,-0.132,56.0,0.679,3,subprime,1,0.73,4.0,8.0,1,1,waived_fee,0
SME147148,micro,retail,business_owner,4.4,20.0,7300.0,2476.27,-0.141,20.0,0.088,6,super_prime,0,0.84,2.0,5.0,1,1,travel_credit,1
SME155899,medium,professional_services,business_owner,12.1,9.0,22400.0,4278.47,0.16,45.0,0.435,5,near_prime,1,0.67,2.0,7.0,0,1,waived_fee,1
SME160526,small,professional_services,business_owner,5.5,17.0,18700.0,4550.21,-0.159,27.0,0.378,5,prime,2,0.73,2.0,2.0,0,1,waived_fee,1
SME154730,micro,retail,business_owner,0.5,26.0,17700.0,3175.15,-0.115,26.0,0.264,4,prime,0,0.82,1.0,13.0,0,0,none,1
SME100067,micro,professional_services,employee,3.9,1.0,26800.0,12526.98,-0.078,101.0,0.129,4,super_prime,0,0.62,4.0,11.0,0,0,none,0
SME144303,small,tech,employee,5.6,40.0,11100.0,7097.84,0.069,40.0,0.179,5,super_prime,0,0.86,2.0,10.0,0,0,none,1
SME186864,small,tech,business_owner,17.1,3.0,25000.0,406.5,-0.004,2.0,0.103,9,super_prime,0,1.0,0.0,2.0,0,0,none,1
SME110825,small,professional_services,employee,0.5,37.0,20600.0,2933.78,-0.051,24.0,0.189,4,near_prime,4,0.67,0.0,11.0,0,1,credit_increase,1
SME151781,micro,food_service,business_owner,4.4,6.0,18600.0,5500.69,-0.059,33.0,0.554,3,super_prime,1,0.91,0.0,3.0,1,1,waived_fee,1
SME126943,micro,healthcare,business_owner,2.6,6.0,15200.0,3672.84,-0.071,23.0,0.11,8,subprime,3,0.53,2.0,4.0,1,0,none,1
SME177637,micro,retail,business_owner,0.8,5.0,13600.0,8979.42,0.064,98.0,0.146,9,subprime,6,0.67,3.0,4.0,0,1,waived_fee,0
SME140775,micro,food_service,employee,1.3,61.0,9600.0,4221.74,-0.096,34.0,0.607,8,near_prime,1,0.62,1.0,11.0,1,0,none,1
SME115856,small,professional_services,business_owner,7.8,17.0,31800.0,2101.47,0.205,18.0,0.542,11,super_prime,0,0.77,0.0,4.0,0,1,travel_credit,1
SME138655,micro,retail,business_owner,1.7,4.0,26200.0,4425.64,-0.052,33.0,0.069,2,prime,1,0.98,1.0,8.0,0,0,none,1
