customer_id,business_size,industry,cardholder_role,business_age_years,tenure_months,credit_limit,avg_monthly_spend,spend_trend_3mo,transaction_count_monthly,utilization_ratio,merchant_category_diversity,credit_score_band,late_payments_last_12mo,payment_ratio,support_calls_last_90d,login_frequency_monthly,churn_flag,avg_monthly_spend_capped,risk_segment,risk_segment_label
SME100071,micro,food_service,employee,6.5,7.0,15100.0,105.1,0.051,1.0,0.638,4,super_prime,0,0.81,1.0,10.0,1,105.1,1,at_risk_stressed
SME100072,small,professional_services,business_owner,2.7,1.0,24100.0,5435.44,-0.094,37.0,0.238,6,near_prime,1,0.54,1.0,4.0,1,5435.44,3,low_engagement_new
SME100073,micro,tech,business_owner,6.0,5.0,21400.0,7757.38,0.072,40.0,0.353,6,prime,0,0.56,0.0,0.0,0,7757.38,2,high_value_newer
SME100074,micro,healthcare,employee,2.2,23.0,27900.0,1437.1,0.17,15.0,0.341,6,super_prime,0,0.66,0.0,3.0,0,1437.1,3,low_engagement_new
SME100075,micro,professional_services,employee,7.3,1.0,19000.0,5007.75,0.028,41.0,0.301,5,prime,0,0.86,1.0,4.0,1,5007.75,3,low_engagement_new
SME100076,micro,construction,employee,5.5,5.0,2100.0,3413.82,0.022,23.0,0.377,3,prime,0,0.95,5.0,20.0,0,3413.82,1,at_risk_stressed
SME100077,small,professional_services,business_owner,1.7,52.0,4100.0,4787.2,0.093,27.0,0.313,7,prime,0,0.92,1.0,12.0,1,4787.2,0,loyal_established
SME100078,small,retail,business_owner,16.2,8.0,20700.0,7190.1,0.11,37.0,0.389,5,prime,0,0.95,2.0,7.0,0,7190.1,1,at_risk_stressed
SME100079,small,professional_services,business_owner,2.9,4.0,3200.0,96.71,-0.033,1.0,0.493,13,near_prime,1,0.75,2.0,9.0,1,96.71,1,at_risk_stressed
SME100080,small,retail,employee,1.4,18.0,13300.0,5084.73,0.134,36.0,0.492,1,prime,0,0.71,1.0,6.0,0,5084.73,1,at_risk_stressed
SME100081,micro,professional_services,business_owner,4.7,32.0,17700.0,6050.88,-0.029,51.0,0.336,13,prime,1,0.67,1.0,7.0,0,6050.88,3,low_engagement_new
SME100082,small,professional_services,employee,7.2,33.0,15700.0,6665.08,0.025,35.0,0.787,1,prime,2,0.78,1.0,8.0,0,6665.08,1,at_risk_stressed
SME100083,micro,construction,employee,4.2,28.0,13200.0,3054.01,-0.22,19.0,0.172,6,prime,1,0.6,1.0,10.0,1,3054.01,3,low_engagement_new
SME100084,micro,food_service,employee,10.7,7.0,11600.0,1403.84,-0.184,8.0,0.544,3,prime,1,0.96,0.0,9.0,0,1403.84,1,at_risk_stressed
SME100085,micro,food_service,employee,8.6,13.0,21300.0,78.76,-0.212,1.0,0.539,4,super_prime,0,0.84,0.0,0.0,0,78.76,1,at_risk_stressed
SME100086,small,food_service,business_owner,1.0,6.0,1000.0,3461.11,-0.007,36.0,0.066,5,near_prime,1,0.77,1.0,3.0,0,3461.11,3,low_engagement_new
SME100087,micro,retail,business_owner,2.0,110.0,12500.0,2494.47,-0.063,28.0,0.273,7,super_prime,0,1.03,1.0,10.0,0,2494.47,0,loyal_established
SME100088,micro,construction,employee,3.6,24.0,28200.0,7403.05,-0.033,58.0,0.238,7,super_prime,0,0.84,0.0,10.0,0,7403.05,2,high_value_newer
SME100089,micro,construction,employee,2.8,13.0,8700.0,3316.05,0.211,19.0,0.769,9,prime,3,0.9,2.0,9.0,0,3316.05,1,at_risk_stressed
SME100090,micro,food_service,business_owner,3.1,15.0,24500.0,5894.01,-0.032,35.0,0.247,10,super_prime,0,0.8,0.0,9.0,0,5894.01,3,low_engagement_new
SME100091,small,retail,employee,1.2,63.0,14500.0,4962.95,-0.026,50.0,0.636,11,subprime,4,0.46,1.0,12.0,0,4962.95,0,loyal_established
SME100092,micro,healthcare,business_owner,1.5,29.0,17100.0,141.42,0.03,1.0,0.221,1,prime,1,0.71,0.0,13.0,0,141.42,3,low_engagement_new
SME100093,micro,construction,business_owner,2.6,1.0,11000.0,8368.34,-0.104,48.0,0.323,7,super_prime,0,0.83,1.0,7.0,0,8368.34,2,high_value_newer
SME100094,micro,construction,business_owner,2.6,28.0,9800.0,5270.38,0.079,35.0,0.357,1,near_prime,2,0.58,4.0,4.0,0,5270.38,1,at_risk_stressed
SME100095,small,tech,employee,19.7,23.0,31500.0,2892.83,0.058,18.0,0.746,5,super_prime,1,0.89,1.0,11.0,0,2892.83,1,at_risk_stressed
SME100096,micro,healthcare,business_owner,13.3,62.0,23900.0,4406.31,-0.02,39.0,0.489,9,subprime,1,0.62,4.0,5.0,0,4406.31,0,loyal_established
SME100097,micro,healthcare,employee,1.8,2.0,2300.0,6500.45,0.142,35.0,0.272,13,prime,0,0.87,4.0,9.0,0,6500.45,3,low_engagement_new
SME100098,micro,construction,business_owner,1.6,1.0,27700.0,2285.0,-0.101,27.0,0.48,11,super_prime,0,0.51,0.0,8.0,1,2285.0,1,at_risk_stressed
SME100099,medium,construction,business_owner,4.6,26.0,16300.0,5130.72,-0.008,50.0,0.158,5,near_prime,2,0.48,1.0,25.0,1,5130.72,3,low_engagement_new
SME100100,medium,construction,employee,11.3,12.0,8100.0,5240.35,0.03,39.0,0.707,8,near_prime,3,0.71,3.0,5.0,0,5240.35,1,at_risk_stressed
SME100101,small,tech,employee,5.5,101.0,5000.0,5583.89,-0.051,58.0,0.703,11,super_prime,0,0.78,0.0,5.0,0,5583.89,0,loyal_established
SME100102,micro,professional_services,business_owner,2.4,61.0,12800.0,7591.69,0.162,45.0,0.167,3,near_prime,1,0.85,1.0,11.0,0,7591.69,0,loyal_established
SME100103,medium,food_service,employee,12.6,20.0,5600.0,317.72,-0.09,3.0,0.279,2,super_prime,1,0.98,0.0,3.0,0,317.72,3,low_engagement_new
SME100104,small,tech,business_owner,6.4,20.0,9800.0,617.51,-0.017,5.0,0.207,9,near_prime,3,0.68,1.0,7.0,0,617.51,3,low_engagement_new
SME100105,small,tech,employee,0.5,5.0,18700.0,6802.92,0.104,35.0,0.369,10,prime,0,0.74,1.0,2.0,1,6802.92,1,at_risk_stressed
SME100106,micro,healthcare,employee,9.1,7.0,13200.0,86.09,-0.139,1.0,0.414,9,near_prime,2,0.8,0.0,8.0,0,86.09,1,at_risk_stressed
SME100107,micro,professional_services,business_owner,6.0,18.0,14300.0,382.54,0.073,2.0,0.113,9,prime,1,0.89,1.0,10.0,0,382.54,3,low_engagement_new
SME100108,micro,professional_services,employee,9.5,38.0,24300.0,5526.98,-0.258,53.0,0.316,12,prime,1,0.93,3.0,14.0,0,5526.98,3,low_engagement_new
SME100109,medium,professional_services,business_owner,5.7,10.0,13300.0,5110.73,0.025,51.0,0.296,7,prime,1,0.76,4.0,7.0,1,5110.73,3,low_engagement_new
SME100110,micro,retail,employee,7.7,55.0,7000.0,2196.12,0.081,16.0,0.466,9,near_prime,0,0.63,0.0,6.0,1,2196.12,0,loyal_established
SME100111,micro,retail,business_owner,0.5,38.0,19100.0,389.73,0.138,4.0,0.182,13,near_prime,2,0.79,3.0,6.0,0,389.73,3,low_engagement_new
SME100112,micro,retail,employee,0.9,36.0,24200.0,3515.18,0.083,27.0,0.294,8,super_prime,0,0.88,2.0,11.0,0,3515.18,3,low_engagement_new
SME100113,small,retail,business_owner,3.8,37.0,9000.0,2471.97,-0.103,15.0,0.041,6,super_prime,0,0.52,1.0,2.0,0,2471.97,3,low_engagement_new
SME100114,micro,professional_services,business_owner,2.7,7.0,24800.0,4127.38,-0.137,41.0,0.545,6,prime,2,0.62,2.0,4.0,1,4127.38,1,at_risk_stressed
SME100115,small,tech,employee,0.5,95.0,4200.0,7204.44,0.003,38.0,0.229,7,super_prime,0,0.97,2.0,4.0,0,7204.44,0,loyal_established
SME100116,small,food_service,employee,6.2,78.0,22500.0,1861.93,-0.205,17.0,0.518,13,prime,0,0.89,2.0,7.0,1,1861.93,0,loyal_established
SME100117,small,construction,employee,11.1,32.0,2800.0,5422.66,0.099,52.0,0.535,4,near_prime,2,0.52,4.0,11.0,1,5422.66,1,at_risk_stressed
SME100118,micro,professional_services,employee,1.9,1.0,16600.0,11195.63,0.181,73.0,0.652,8,prime,1,0.61,0.0,0.0,1,11195.63,2,high_value_newer
SME100119,small,retail,business_owner,10.6,18.0,2400.0,5205.12,-0.046,39.0,0.224,11,super_prime,1,0.81,1.0,5.0,0,5205.12,3,low_engagement_new
SME100120,small,professional_services,employee,39.9,18.0,16000.0,7754.1,0.086,51.0,0.195,4,super_prime,1,0.75,1.0,8.0,0,7754.1,2,high_value_newer
SME100121,small,food_service,employee,4.4,4.0,9100.0,920.04,0.246,6.0,0.131,1,super_prime,1,0.79,0.0,8.0,0,920.04,3,low_engagement_new
SME100122,micro,food_service,employee,0.5,21.0,19800.0,86.07,-0.139,1.0,0.283,4,prime,1,0.7,1.0,13.0,0,86.07,3,low_engagement_new
SME100123,micro,food_service,business_owner,3.5,15.0,19100.0,5629.03,-0.209,39.0,0.24,13,near_prime,1,0.68,2.0,14.0,0,5629.03,3,low_engagement_new
SME100124,micro,retail,employee,0.7,18.0,19500.0,2541.14,0.054,22.0,0.313,2,subprime,4,0.51,2.0,9.0,0,2541.14,3,low_engagement_new
SME100125,micro,professional_services,employee,10.9,48.0,1800.0,8486.77,0.251,83.0,0.365,7,super_prime,0,0.81,1.0,16.0,0,8486.77,2,high_value_newer
SME100126,micro,healthcare,employee,3.7,27.0,22300.0,3168.46,0.129,17.0,0.438,14,prime,1,0.87,2.0,10.0,0,3168.46,1,at_risk_stressed
SME100127,micro,healthcare,business_owner,4.9,57.0,19700.0,2493.68,-0.022,17.0,0.284,4,near_prime,3,0.63,1.0,12.0,0,2493.68,0,loyal_established
SME100128,micro,food_service,employee,3.1,65.0,1000.0,8423.54,-0.055,47.0,0.194,13,subprime,1,0.44,2.0,9.0,0,8423.54,0,loyal_established
SME100129,small,food_service,employee,28.2,49.0,5200.0,10868.74,0.008,89.0,0.156,14,prime,1,0.97,0.0,9.0,0,10868.74,2,high_value_newer
SME100130,micro,food_service,business_owner,1.8,14.0,18300.0,3893.11,0.092,28.0,0.162,14,super_prime,0,0.77,1.0,7.0,0,3893.11,3,low_engagement_new
SME100131,medium,retail,employee,8.6,1.0,4300.0,93.85,-0.062,1.0,0.491,8,prime,0,0.88,2.0,2.0,0,93.85,1,at_risk_stressed
SME100132,small,professional_services,business_owner,0.7,11.0,12500.0,3191.94,-0.146,19.0,0.131,10,prime,1,0.76,1.0,8.0,0,3191.94,3,low_engagement_new
SME100133,micro,retail,employee,1.7,28.0,10100.0,4438.08,0.051,28.0,0.499,11,prime,1,0.72,1.0,8.0,0,4438.08,1,at_risk_stressed
SME100134,small,food_service,employee,2.5,2.0,13000.0,1235.95,-0.142,13.0,0.555,2,subprime,2,0.74,4.0,9.0,1,1235.95,1,at_risk_stressed
SME100135,micro,professional_services,employee,2.6,24.0,20600.0,4435.21,-0.077,23.0,0.599,11,prime,3,0.89,1.0,27.0,0,4435.21,1,at_risk_stressed
SME100136,medium,construction,employee,1.7,1.0,11000.0,3461.59,-0.265,29.0,0.835,10,prime,1,0.64,0.0,4.0,0,3461.59,1,at_risk_stressed
SME100137,micro,tech,employee,10.0,10.0,7200.0,10545.88,0.247,108.0,0.509,2,near_prime,1,0.82,3.0,16.0,0,10545.88,2,high_value_newer
SME100138,small,healthcare,employee,5.4,7.0,14800.0,5516.19,0.22,30.0,0.11,1,prime,1,0.71,2.0,8.0,0,5516.19,3,low_engagement_new
SME100139,micro,food_service,business_owner,2.4,2.0,21700.0,6059.13,0.07,72.0,0.033,11,super_prime,0,0.85,0.0,12.0,0,6059.13,3,low_engagement_new
SME100140,micro,healthcare,employee,11.6,25.0,14100.0,7326.14,0.123,58.0,0.326,9,prime,1,0.72,0.0,4.0,0,7326.14,2,high_value_newer
SME100141,micro,food_service,employee,17.0,81.0,25000.0,8546.52,-0.066,84.0,0.524,12,prime,2,0.89,3.0,9.0,0,8546.52,0,loyal_established
SME100142,medium,construction,employee,5.3,18.0,10300.0,7255.67,0.002,79.0,0.11,12,near_prime,2,0.67,3.0,18.0,0,7255.67,2,high_value_newer
SME100143,small,retail,business_owner,1.1,42.0,37800.0,10186.84,-0.009,57.0,0.081,5,super_prime,1,0.98,1.0,13.0,0,10186.84,2,high_value_newer
SME100144,micro,professional_services,business_owner,0.8,22.0,16900.0,2973.77,0.023,35.0,0.626,4,super_prime,0,0.83,2.0,11.0,0,2973.77,1,at_risk_stressed
SME100145,micro,professional_services,employee,1.1,7.0,1000.0,5387.29,-0.024,47.0,0.694,4,prime,2,0.76,2.0,12.0,0,5387.29,1,at_risk_stressed
SME100146,micro,healthcare,employee,0.5,3.0,8800.0,4501.24,0.058,23.0,0.068,5,near_prime,0,0.72,2.0,8.0,0,4501.24,3,low_engagement_new
SME100147,micro,tech,employee,1.3,13.0,9100.0,4758.69,-0.08,36.0,0.261,7,prime,1,0.86,1.0,4.0,0,4758.69,3,low_engagement_new
SME100148,micro,tech,employee,2.6,13.0,5400.0,5735.89,-0.064,30.0,0.105,3,near_prime,2,0.56,2.0,10.0,0,5735.89,3,low_engagement_new
SME100149,micro,healthcare,employee,0.7,12.0,27000.0,1686.33,0.019,17.0,0.232,8,near_prime,0,0.64,0.0,13.0,0,1686.33,3,low_engagement_new
SME100150,small,retail,business_owner,6.3,31.0,13600.0,4984.77,0.205,36.0,0.263,7,prime,2,0.74,0.0,0.0,1,4984.77,3,low_engagement_new
SME100151,small,healthcare,employee,4.0,4.0,9000.0,3328.17,-0.115,22.0,0.765,3,super_prime,0,0.81,3.0,6.0,0,3328.17,1,at_risk_stressed
SME100152,micro,professional_services,employee,1.6,43.0,9200.0,3826.69,0.027,37.0,0.347,6,near_prime,0,0.82,2.0,14.0,0,3826.69,0,loyal_established
SME100153,small,food_service,business_owner,1.0,13.0,18400.0,500.31,-0.185,4.0,0.194,14,near_prime,1,0.88,2.0,6.0,1,500.31,3,low_engagement_new
SME100154,micro,food_service,business_owner,10.6,20.0,3900.0,3653.92,-0.081,23.0,0.379,11,near_prime,0,0.3,3.0,8.0,0,3653.92,1,at_risk_stressed
SME100155,small,construction,employee,0.7,7.0,22800.0,6916.16,-0.127,85.0,0.109,13,super_prime,1,0.76,0.0,8.0,1,6916.16,2,high_value_newer
SME100156,micro,professional_services,business_owner,3.5,2.0,1000.0,2966.56,0.011,15.0,0.197,2,super_prime,0,0.81,1.0,5.0,0,2966.56,3,low_engagement_new
SME100157,small,healthcare,employee,0.6,1.0,18900.0,6080.44,-0.122,55.0,0.215,7,super_prime,1,0.82,0.0,8.0,0,6080.44,3,low_engagement_new
SME100158,small,tech,business_owner,0.5,12.0,22700.0,7917.57,0.166,55.0,0.422,13,prime,0,0.84,1.0,12.0,0,7917.57,2,high_value_newer
SME100159,small,healthcare,employee,19.9,36.0,25300.0,5520.83,-0.116,41.0,0.58,6,super_prime,0,0.83,0.0,5.0,0,5520.83,1,at_risk_stressed
SME100160,micro,professional_services,employee,6.8,1.0,8200.0,5701.53,-0.116,42.0,0.675,7,prime,0,1.05,2.0,4.0,0,5701.53,1,at_risk_stressed
SME100161,medium,healthcare,employee,7.7,13.0,26600.0,5648.25,-0.022,38.0,0.473,5,super_prime,0,0.64,0.0,4.0,0,5648.25,1,at_risk_stressed
SME100162,micro,professional_services,business_owner,0.5,33.0,20100.0,9979.48,0.257,54.0,0.161,11,subprime,5,0.21,1.0,9.0,0,9979.48,2,high_value_newer
SME100163,micro,retail,employee,5.4,11.0,20600.0,6732.08,0.05,39.0,0.315,5,subprime,4,0.73,2.0,7.0,0,6732.08,3,low_engagement_new
SME100164,small,retail,employee,5.8,28.0,32900.0,5572.65,0.237,53.0,0.491,6,super_prime,0,0.96,0.0,0.0,0,5572.65,1,at_risk_stressed
